"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 12:03:28.258",wckepZoBKNps3ga0KPpS,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8l","req-8l","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:28.258","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:28.256",wskepZoBKNps3ga0KPpS,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8k","req-8k","889.763","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:28.256","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:27.366",w8kepZoBKNps3ga0KPpS,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8k","req-8k","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:27.366","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:24.735",wMkepZoBKNps3ga0IPp8,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8j","req-8j","695.564","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:24.735","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:24.054",sskepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8e","req-8e","2,173.559","wrapper-backend","wrapper-backend",500,"Nov 21, 2025 @ 12:03:24.054","/api/credits/current","/api/credits/current","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:24.043",s8kepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8f","req-8f","2,158.791","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:24.042","/api/api/subscriptions/current","/api/api/subscriptions/current","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:24.039",tMkepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8j","req-8j","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:24.039","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:24.037",tckepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8i","req-8i","933.814","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:24.037","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:23.788",tskepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8d","req-8d","1,911.842","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:23.787","/api/admin/entity-scope","/api/admin/entity-scope","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:23.349",t8kepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8h","req-8h","821.661","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:23.348","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:23.234",uMkepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8c","req-8c","1,360.456","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:23.233","/api/onboarding/status","/api/onboarding/status","wrapper-backend","wrapper-backend"
