"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.environment","metadata.environment.keyword","metadata.host","metadata.host.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.port","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 11:47:55.700",1ckPpZoBKNps3ga07Pb3,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2p","req-2p","2,352.479","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:55.700","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:53.348","1MkPpZoBKNps3ga04_bG","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2p","req-2p","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:53.347","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:43.159","08kPpZoBKNps3ga0u_b5","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2o","req-2o","1,810.713","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:43.159","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:41.348",0skPpZoBKNps3ga0tPbm,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2o","req-2o","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:41.348","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:38.161","z8kPpZoBKNps3ga0q_YN","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2n","req-2n","1,101.23","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:38.160","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:37.059","0MkPpZoBKNps3ga0q_YN","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2n","req-2n","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:37.059","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:37.057","0ckPpZoBKNps3ga0q_YN","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2m","req-2m","1,197.487","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:37.057","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:35.859","zckPpZoBKNps3ga0o_Yz","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2m","req-2m","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:35.859","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:35.857","zskPpZoBKNps3ga0o_Yz","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2l","req-2l","1,393.268","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:35.857","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:34.464","yMkPpZoBKNps3ga0m_ZZ","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2l","req-2l","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:34.464","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:34.462","yckPpZoBKNps3ga0m_ZZ","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2k","req-2k","1,378.649","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:34.462","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:33.083","yskPpZoBKNps3ga0m_ZZ","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2k","req-2k","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:33.083","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:33.081","y8kPpZoBKNps3ga0m_ZZ","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2j","req-2j","1,032.481","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:33.080","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:32.872","zMkPpZoBKNps3ga0m_ZZ","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2g","req-2g","8,474.217","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:32.871","/api/credits/current","/api/credits/current","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:32.466","wckPpZoBKNps3ga0k_Z-","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2h","req-2h","8,066.336","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:32.465","/api/api/subscriptions/current","/api/api/subscriptions/current","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:32.048","wskPpZoBKNps3ga0k_Z-","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2j","req-2j","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:32.048","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:32.046","w8kPpZoBKNps3ga0k_Z-","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2i","req-2i","1,281.373","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:32.046","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:32.045","xMkPpZoBKNps3ga0k_Z-","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2f","req-2f","7,648.778","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:32.045","/api/admin/entity-scope","/api/admin/entity-scope","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:31.460","xckPpZoBKNps3ga0k_Z-","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2e","req-2e","7,064.659","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:31.460","/api/onboarding/status","/api/onboarding/status","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:31.080","xskPpZoBKNps3ga0k_Z-","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2c","req-2c","9,732.456","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:31.080","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:30.765","x8kPpZoBKNps3ga0k_Z-","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2i","req-2i","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:30.765","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:30.762","wMkPpZoBKNps3ga0i_aP","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2d","req-2d","6,368.977","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:47:30.761","/api/admin/auth-status","/api/admin/auth-status","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:24.399",vMkPpZoBKNps3ga0dvZu,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2h","req-2h","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:24.399","/api/api/subscriptions/current","/api/api/subscriptions/current","wrapper-backend","wrapper-backend"
